20170316 22:29:38,user,"如实说就是了,,, 目的是想和她交朋友还是想和她恋爱 亦或是希望她能帮助你什么 因为这些只是当初的想法,不代表现在 只要你的目的不是太猥琐就行"
20170316 22:29:39,meme,"如实说就是了,,, 目的是想和她交朋友还是想和她恋爱 亦或是希望她能帮助你什么 因为这些只是当初的想法,不代表现在 只要你的目的不是太猥琐就行"
20170316 22:29:39,user,本来不礼貌吗
20170316 22:29:41,meme,本来就不礼貌呢
20170316 22:29:41,user,"扫   如果回答有不完善的地方,或不明白的地方,可以追问      谢谢"
20170316 22:29:41,meme,"扫   如果回答有不完善的地方,或不明白的地方,可以追问      谢谢"
20170316 22:29:42,user,"如实说就是了,,, 目的是想和她交朋友还是想和她恋爱 亦或是希望她能帮助你什么 因为这些只是当初的想法,不代表现在 只要你的目的不是太猥琐就行"
20170316 22:29:43,meme,"如实说就是了,,, 目的是想和她交朋友还是想和她恋爱 亦或是希望她能帮助你什么 因为这些只是当初的想法,不代表现在 只要你的目的不是太猥琐就行"
20170316 22:29:43,user,你本来什么样啦
20170316 22:29:43,meme,图灵机器人也不知道是什么耶
20170316 22:29:44,user,"扫   如果回答有不完善的地方,或不明白的地方,可以追问      谢谢"
20170316 22:29:44,meme,"扫   如果回答有不完善的地方,或不明白的地方,可以追问      谢谢"
20170316 22:29:44,user,"如实说就是了,,, 目的是想和她交朋友还是想和她恋爱 亦或是希望她能帮助你什么 因为这些只是当初的想法,不代表现在 只要你的目的不是太猥琐就行"
20170316 22:29:45,meme,"如实说就是了,,, 目的是想和她交朋友还是想和她恋爱 亦或是希望她能帮助你什么 因为这些只是当初的想法,不代表现在 只要你的目的不是太猥琐就行"
20170316 22:29:45,user,图灵机器人是什么：图灵机器人平台是一个免费的API开放平台，基于自然语言处理、知识库和云计算等技术，为广大开发者、合作伙伴提供的一系列智能语义处理能力耶～
20170316 22:29:45,meme,哦天哪我竟然不知道你想说什么
20170316 22:29:47,user,"如实说就是了,,, 目的是想和她交朋友还是想和她恋爱 亦或是希望她能帮助你什么 因为这些只是当初的想法,不代表现在 只要你的目的不是太猥琐就行"
20170316 22:29:48,meme,"如实说就是了,,, 目的是想和她交朋友还是想和她恋爱 亦或是希望她能帮助你什么 因为这些只是当初的想法,不代表现在 只要你的目的不是太猥琐就行"
20170316 22:29:48,user,我只是以我的想法说出来而已啦
20170316 22:29:48,meme,好嘛好嘛
20170316 22:29:50,user,"如实说就是了,,, 目的是想和她交朋友还是想和她恋爱 亦或是希望她能帮助你什么 因为这些只是当初的想法,不代表现在 只要你的目的不是太猥琐就行"
20170316 22:29:50,meme,"如实说就是了,,, 目的是想和她交朋友还是想和她恋爱 亦或是希望她能帮助你什么 因为这些只是当初的想法,不代表现在 只要你的目的不是太猥琐就行"
20170316 22:29:50,user,撒娇的时候真的好可爱呀
20170316 22:29:51,meme,"我真的好难受。我的女朋友一直是个很可爱的女生,外人看来都很男孩子气、很坚强,以往只对我撒娇,有时埋怨我没有花多时间陪她,更是毫不避讳在我面前哭"
20170316 22:29:51,user,"如实说就是了,,, 目的是想和她交朋友还是想和她恋爱 亦或是希望她能帮助你什么 因为这些只是当初的想法,不代表现在 只要你的目的不是太猥琐就行"
20170316 22:29:52,meme,"如实说就是了,,, 目的是想和她交朋友还是想和她恋爱 亦或是希望她能帮助你什么 因为这些只是当初的想法,不代表现在 只要你的目的不是太猥琐就行"
20170316 22:29:52,user,说的也是　呀嘻嘻
20170316 22:29:53,meme,不大会说呀
20170316 22:29:54,user,"如实说就是了,,, 目的是想和她交朋友还是想和她恋爱 亦或是希望她能帮助你什么 因为这些只是当初的想法,不代表现在 只要你的目的不是太猥琐就行"
20170316 22:29:54,meme,"如实说就是了,,, 目的是想和她交朋友还是想和她恋爱 亦或是希望她能帮助你什么 因为这些只是当初的想法,不代表现在 只要你的目的不是太猥琐就行"
20170316 22:29:55,user,说话要讲证据呐
20170316 22:29:55,meme,我有人证喔
20170316 22:29:55,user,"如实说就是了,,, 目的是想和她交朋友还是想和她恋爱 亦或是希望她能帮助你什么 因为这些只是当初的想法,不代表现在 只要你的目的不是太猥琐就行"
20170316 22:29:56,meme,"如实说就是了,,, 目的是想和她交朋友还是想和她恋爱 亦或是希望她能帮助你什么 因为这些只是当初的想法,不代表现在 只要你的目的不是太猥琐就行"
20170316 22:29:57,user,有人证的呢
20170316 22:29:57,meme,我没有身份证我有军人证呢
